text,label
What's the best way to stay focused while studying?,query
How do I fix a leaky faucet?,query
What's your favorite type of investment?,chat
Check the weather forecast.,query
What's your favorite type of fitness activity?,chat
Do you enjoy DIY plumbing repairs?,chat
Order a pizza.,query
How do I care for a newborn baby?,query
What are the rules of a particular sport?,query
Tell me a funny joke.,chat
How was your weekend?,chat
Lock the screen.,query
What's your favorite type of food?,chat
How do I fix a broken chair?,query
Do you enjoy cooking?,chat
What's your favorite holiday destination?,chat
What's the best way to de-stress after work?,query
Do you like to cook?,chat
How do I clean a dirty oven?,query
How do you do?,chat
How do I grow tomatoes in my backyard?,query
What's up?,chat
Do you enjoy watching movies?,chat
Look up the details of a scientific experiment.,query
How old are you?,chat
Order a book online.,query
Close the window.,query
Clear my browsing history.,query
What's your favorite type of exercise?,chat
Look up the lyrics of a song in a different language.,query
What's your favorite type of movie genre?,chat
How do I create a budget for a painting project?,query
What are the symptoms of the common cold?,query
How do I install a ceiling fan?,query
What's your favorite food?,chat
What's your favorite hobby?,chat
What is the tallest mountain in the world?,query
How do I make homemade soap?,query
How do I create a resume?,query
Do you enjoy parenting?,chat
What's your favorite type of cuisine?,chat
How do I plan a backpacking trip?,query
How do I paint a room like a pro?,query
Create a new folder.,query
What's your favorite color?,chat
What's your favorite type of music?,chat
Look up a recipe for chocolate chip cookies.,query
How do I create a budget for a home gym?,query
What's the best time to go to the beach?,query
Find the nutritional value of a specific food item.,query
What's your favorite type of cuisine?,chat
What's your favorite type of cuisine?,chat
Do you like to shop?,chat
How do I create a budget for a family vacation?,query
What's your favorite holiday destination?,chat
How do I create a budget for a fitness challenge?,query
What's your favorite TV show?,chat
Search for the history of the Great Wall of China.,query
Do you like to exercise?,chat
Search for the latest sports scores.,query
Find information about a famous landmark.,query
How do I organize my closet?,query
How do I start a blog?,query
How do I fix a broken bicycle chain?,query
How do I create a budget for education expenses?,query
What's your favorite outdoor activity?,chat
Tell me a joke.,chat
What's your favorite holiday?,chat
How do I cook a perfect steak?,query
How do I create a skincare routine?,query
What's your name?,chat
How do I repair a leaky roof?,query
What's your favorite hobby?,chat
How do I make homemade candles?,query
What's the weather like today?,query
Do you like to read books?,chat
Tell me about yourself.,chat
Do you enjoy hiking?,chat
What's your favorite outdoor activity?,chat
What's the best way to treat a sunburn?,query
What are you doing?,chat
What do you do for fun?,chat
How do I care for a pet fish?,query
What's the best way to pack for a weekend trip?,query
How do I create a budget for a language learning course?,query
What's the best way to prepare for a marathon?,query
Turn off the lights.,query
What time does the movie start?,query
What's your favorite type of beauty product?,chat
Do you have any pets?,chat
How do I train a puppy?,query
Search for the biography of a famous person.,query
Do you enjoy listening to music?,chat
How do I install a security camera?,query
Tell me about the latest technology news.,query
What's your favorite type of cuisine?,chat
Did you watch any movies recently?,chat
How was your weekend?,chat
How do I create a budget for a road trip?,query
Find the release date of a movie.,query
What's the recipe for chocolate cake?,query
What did you have for breakfast?,chat
Look up the weather forecast for tomorrow.,query
What's your favorite type of adventure activity?,chat
What's the best way to save money for a vacation?,query
Tell me about your favorite color.,chat
Good morning!,chat
What's your opinion on a current event?,chat
How do I change a car battery?,query
What's your favorite type of steak?,chat
What's your favorite type of home decor?,chat
How do I clean a dirty microwave?,query
What's the best way to stay motivated to exercise?,query
Do you like to travel?,chat
What's your favorite season?,chat
Rename a file.,query
How do I bake cookies from scratch?,query
What's your favorite TV show?,chat
What's the fastest way to get to the nearest hospital?,query
Find a nearby hotel.,query
What is the capital of Australia?,query
Do you enjoy using technology?,chat
What's your favorite TV show?,chat
What's your favorite color?,chat
What's your favorite social media platform?,chat
Tell me about your favorite book.,chat
How can I fix a broken zipper?,query
What's your favorite animal?,chat
Delete all files in the trash.,query
How do I create a budget for saving money?,query
How do I fix a broken door handle?,query
How do I bake a perfect chocolate cake?,query
Do you like to read?,chat
What's your favorite type of vacation destination?,chat
Check stock prices.,query
What's your favorite type of pet?,chat
How do I tie a bowtie?,query
Find the current time in Tokyo.,query
What's your favorite type of cuisine?,chat
Tell me about your favorite TV show.,chat
What's the best way to start a small business?,query
What's your favorite hobby?,chat
Do you have any siblings?,chat
Post a status update on social media.,query
Search for the latest news about climate change.,query
Look up the definition of a scientific term.,query
What's the best way to prepare for a job interview?,query
What's your favorite type of cuisine?,chat
How do I clean a greasy stovetop?,query
What's the best time to water plants in hot weather?,query
Tell me about your favorite movie.,chat
What's your favorite sports team?,chat
Nice to meet you.,chat
What's your favorite time of day?,chat
How do I create a budget for a wedding?,query
Open the window.,query
Search for the latest technology news.,query
Book a flight to New York.,query
What's your favorite place you've visited?,chat
How do I create a budget for a camping trip?,query
Share something interesting.,chat
Turn on the TV.,query
How do I create a budget for a photography hobby?,query
How to tie a bow tie?,query
How do I create a strong password?,query
How do I make homemade candles?,query
Do you enjoy hiking?,chat
Tell me a joke!,chat
What's your favorite type of outdoor activity?,chat
What's the best way to stay productive at work?,query
Print the document.,query
Find information about a famous invention or discovery.,query
Do you enjoy meditation?,chat
Do you enjoy DIY projects?,chat
Tell me about your favorite hiking trail.,chat
How do I create a budget for a home renovation?,query
Add an event to my calendar.,query
Tell me about your favorite photography subject.,chat
Tell me about your dream vacation destination.,chat
What's your favorite type of educational content?,chat
How do I sew a button on a shirt?,query
What's your favorite movie?,chat
Set a reminder to call mom.,query
What's your favorite type of exercise equipment?,chat
What's the value of pi?,query
Do you like to read?,chat
Do you have any pets?,chat
How do I fix a leaking roof?,query
How do I plant flowers in a hanging basket?,query
What's the best way to invest money?,query
Tell me about your day.,chat
Tell me about your favorite type of painting.,chat
How do I sew a button on a shirt?,query
Do you enjoy outdoor activities?,chat
What's your favorite type of cuisine?,chat
Good evening!,chat
How do I create a budget for home renovation?,query
How was your day today?,chat
How do I create a resume that stands out?,query
Do you like to watch TV shows?,chat
How do I fix a leaky roof?,query
What's your favorite color?,chat
What's your favorite type of fabric?,chat
Look up the definition of 'serendipity'.,query
What's your favorite movie genre?,chat
Do you enjoy painting?,chat
Do you like to travel?,chat
How do I make homemade pizza?,query
Play the latest news.,query
How long does it take to get to the airport?,query
Look up the lyrics of a song.,query
Search for famous paintings by Vincent van Gogh.,query
How do I create a budget for a road trip?,query
How do I make a healthy smoothie?,query
How do I fix a broken zipper on my jacket?,query
What's your favorite movie genre?,chat
Do you enjoy home improvement projects?,chat
Have you seen any good movies lately?,chat
Find the distance between two cities.,query
How do I create a workout routine?,query
Do you enjoy event planning?,chat
Turn on the fan.,query
What's your favorite type of art?,chat
Do you enjoy photography?,chat
What's your favorite TV show?,chat
How do I fix a clogged drain in the kitchen sink?,query
Find the nearest coffee shop.,query
How do I bake chocolate chip cookies from scratch?,query
How do I make a DIY face mask at home?,query
Send a message to John.,query
How do I fix a broken smartphone screen?,query
Stop the video.,query
Do you like to dance?,chat
How do I start a meditation practice?,query
How do I create a budget for buying a car?,query
What's your favorite type of vehicle?,chat
What's the best way to organize my closet?,query
Tell me about your favorite book.,chat
How do I reset my password?,query
Do you like to exercise?,chat
How do I create a budget for home renovation?,query
How do I remove a virus from my computer?,query
What's your favorite outdoor activity?,chat
Tell me about your favorite childhood memory.,chat
What's your favorite type of camping experience?,chat
What's your favorite book?,chat
Search for the best travel destinations for summer.,query
Play some music.,query
Set a reminder for tomorrow.,query
What's your favorite TV show?,chat
What's your favorite type of cuisine?,chat
What's your favorite animal?,chat
How do I start a podcast?,query
Do you enjoy entrepreneurship?,chat
What's the best time to plant flowers?,query
How do I change a flat tire on my car?,query
Hi there!,chat
Search for the best hiking trails in Yosemite National Park.,query
Do you enjoy doing crafts?,chat
How do I tie a tie in different ways?,query
What's your favorite movie?,chat
What's the latest fashion trend?,query
What's your favorite type of fruit?,chat
What's your favorite social media platform?,chat
Find the latest stock prices of Apple Inc.,query
Search for famous landmarks in Rome.,query
Tell me about your favorite type of art.,chat
Tell me about your favorite blog.,chat
What's the best way to prepare for a presentation?,query
What are your favorite pastimes?,chat
How do I take care of indoor plants?,query
How's your day going?,chat
How do I create a budget for a travel adventure?,query
Do you enjoy gardening?,chat
What's your favorite hobby?,chat
How's your day been?,chat
Look up the symptoms of a particular disease.,query
What's your favorite type of cuisine?,chat
How do I remove a stain from my carpet?,query
How do I install a new software program?,query
How do I write a cover letter for a job application?,query
Do you like to travel?,chat
Navigate to the nearest pharmacy.,query
What's your name?,chat
How's your day going?,chat
Cut the call.,query
Search for a recipe.,query
How do I remove stains from clothes?,query
Tell me about your dreams.,chat
Tell me about your favorite movie.,chat
What's your favorite type of weather?,chat
What's new?,chat
How do I fix a broken electrical outlet?,query
How do I create a budget for a home decor project?,query
How do I build a raised garden bed?,query
Do you enjoy gardening?,chat
How do I plan a road trip?,query
Turn off the lights.,query
What's the best way to learn a new language?,query
How do I bake cookies from scratch?,query
Add milk to my shopping list.,query
Do you like playing musical instruments?,chat
Calculate the tip.,query
Check my email.,query
What's your favorite type of flower?,chat
Do you enjoy watching sports?,chat
Tell me about your favorite candle scent.,chat
What are the ingredients for making lasagna?,query
What's the best way to deal with difficult coworkers?,query
How do I fix a leaking toilet?,query
Do you enjoy automotive maintenance?,chat
Find the latest fashion trends.,query
Good afternoon!,chat
What's your favorite sports team?,chat
Tell me about your favorite beach destination.,chat
What's the best way to learn a new language?,query
What's your favorite color?,chat
What's your favorite type of office furniture?,chat
Find the average temperature in Miami in July.,query
How do I fix a flat tire on my bike?,query
Do you like to dance?,chat
Archive all old emails.,query
How do I repair a flat tire on my bike?,query
What's your favorite TV show?,chat
What's the best way to deal with stress at work?,query
How do I make a budget for a small business?,query
Tell me about your favorite aquatic animal.,chat
What's the best way to save money?,query
Do you enjoy DIY window repairs?,chat
How far is the nearest train station?,query
Look up the definition of a technical term.,query
What's the best way to lose weight?,query
Schedule a meeting for tomorrow.,query
What's your opinion on the latest news?,chat
What's your favorite type of music?,chat
How do I plan a wedding?,query
What's your favorite book?,chat
What's the meaning of life?,chat
What's your favorite type of travel adventure?,chat
How do I create a budget for a fitness routine?,query
What's your favorite movie?,chat
Send an email to John.,query
What's your favorite music genre?,chat
How's the weather today?,chat
Do you enjoy home improvement projects?,chat
What is the capital of Brazil?,query
Tell me about your favorite camping experience.,chat
How do I plan a wedding on a budget?,query
How do I create a morning routine for a productive day?,query
What's your favorite season?,chat
What's the best way to organize a messy room?,query
Tell me about your favorite travel destination.,chat
What is the lifespan of a butterfly?,query
